year,patcnty,agegrp,count
2009,Orange,Typical Aged Mothers (20 years old to 34 years old),28283
2009,Placer,Total Births,3660
2009,Placer,Older Mothers (35 years old or older),706
2009,Placer,Teen Mothers (15 years old to 19 years old),144
2009,Placer,Typical Aged Mothers (20 years old to 34 years old),2809
2009,Riverside,Total Births,30698
2009,Riverside,Older Mothers (35 years old or older),4021
2009,Riverside,Teen Mothers (15 years old to 19 years old),3327
2009,Riverside,Typical Aged Mothers (20 years old to 34 years old),23324
2009,Sacramento,Total Births,19923
2009,Sacramento,Older Mothers (35 years old or older),3042
2009,Sacramento,Teen Mothers (15 years old to 19 years old),1699
2009,Sacramento,Typical Aged Mothers (20 years old to 34 years old),15153
2009,San Benito,Total Births,723
2009,San Benito,Older Mothers (35 years old or older),94
2009,San Benito,Teen Mothers (15 years old to 19 years old),82
2009,San Benito,Typical Aged Mothers (20 years old to 34 years old),547
2009,San Bernardino,Total Births,30541
2009,San Bernardino,Older Mothers (35 years old or older),3622
2009,San Bernardino,Teen Mothers (15 years old to 19 years old),3746
2009,San Bernardino,Typical Aged Mothers (20 years old to 34 years old),23130
2009,San Diego,Total Births,39158
2009,San Diego,Older Mothers (35 years old or older),7299
2009,San Diego,Teen Mothers (15 years old to 19 years old),3245
2009,San Diego,Typical Aged Mothers (20 years old to 34 years old),28581
2009,San Francisco,Total Births,8537
2009,San Francisco,Older Mothers (35 years old or older),2934
2009,San Francisco,Teen Mothers (15 years old to 19 years old),265
2009,San Francisco,Typical Aged Mothers (20 years old to 34 years old),5336
2009,San Joaquin,Total Births,10653
2009,San Joaquin,Older Mothers (35 years old or older),1340
2009,San Joaquin,Teen Mothers (15 years old to 19 years old),1199
2009,San Joaquin,Typical Aged Mothers (20 years old to 34 years old),8096
2009,San Luis Obispo,Total Births,2511
2009,San Luis Obispo,Older Mothers (35 years old or older),392
2009,San Luis Obispo,Teen Mothers (15 years old to 19 years old),166
2009,San Luis Obispo,Typical Aged Mothers (20 years old to 34 years old),1951
2009,San Mateo,Total Births,8647
2009,San Mateo,Older Mothers (35 years old or older),2648
2009,San Mateo,Teen Mothers (15 years old to 19 years old),359
2009,San Mateo,Typical Aged Mothers (20 years old to 34 years old),5635
2009,Santa Barbara,Total Births,5899
2009,Santa Barbara,Older Mothers (35 years old or older),878
2009,Santa Barbara,Teen Mothers (15 years old to 19 years old),671
2009,Santa Barbara,Typical Aged Mothers (20 years old to 34 years old),4338
2009,Santa Clara,Total Births,25161
2009,Santa Clara,Older Mothers (35 years old or older),5855
2009,Santa Clara,Teen Mothers (15 years old to 19 years old),1386
2009,Santa Clara,Typical Aged Mothers (20 years old to 34 years old),17905
2009,Santa Cruz,Total Births,3401
2009,Santa Cruz,Older Mothers (35 years old or older),644
2009,Santa Cruz,Teen Mothers (15 years old to 19 years old),347
2009,Santa Cruz,Typical Aged Mothers (20 years old to 34 years old),2405
2009,Shasta,Total Births,2026
2009,Shasta,Older Mothers (35 years old or older),188
2009,Shasta,Teen Mothers (15 years old to 19 years old),206
2009,Shasta,Typical Aged Mothers (20 years old to 34 years old),1630
2009,Siskiyou,Total Births,365
2009,Siskiyou,Older Mothers (35 years old or older),37
2009,Siskiyou,Teen Mothers (15 years old to 19 years old),40
2009,Siskiyou,Typical Aged Mothers (20 years old to 34 years old),288
2009,Solano,Total Births,4826
2009,Solano,Older Mothers (35 years old or older),804
2009,Solano,Teen Mothers (15 years old to 19 years old),433
2009,Solano,Typical Aged Mothers (20 years old to 34 years old),3585
2009,Sonoma,Total Births,5390
2009,Sonoma,Older Mothers (35 years old or older),1023
2009,Sonoma,Teen Mothers (15 years old to 19 years old),338
2009,Sonoma,Typical Aged Mothers (20 years old to 34 years old),4025
2009,Stanislaus,Total Births,7830
2009,Stanislaus,Older Mothers (35 years old or older),887
2009,Stanislaus,Teen Mothers (15 years old to 19 years old),859
2009,Stanislaus,Typical Aged Mothers (20 years old to 34 years old),6078
2009,Sutter,Total Births,1410
